Site,Order,Distance from estuary mouth,Depth from (m),Depth to (cm),AVERAGE depth,Organic C (%),Total N (%),SODIUM (mg/kg),SULFUR (mg/kg)
MSC26,48,26,0.37,0.67,0.52,15.1,0.713,250.3221989,229.3281555
MSC26,60,26,0.67,1.05,0.86,24.7,0.996,525.6945038,242.4235153
MSC27,1,27,0,0.08,0.04,8.18,0.41,189.6000862,66.64478779
MSC27,25,27,0.08,0.2,0.14,5.51,0.251,175.3722382,57.36657143
MSC27,48,27,0.2,0.3,0.25,3.15,0.083,221.6831446,86.90440059
MSC27,60,27,0.3,0.7,0.5,2.87,0.083,206.5208912,52.8270483
MSC27,67,27,0.7,0.9,0.8,2.46,0.077,186.8702507,79.29750919
MSC28,1,28,0,0.2,0.1,31.4,1.47,710.7872009,3678.178101
MSC28,29,28,0.2,0.65,0.425,10.6,0.423,1411.361389,923.6819458
MSC28,57,28,0.65,1.05,0.85,19.4,0.773,579.5515823,781.738205
