Site,Distance from estuary mouth,Depth from (m),Depth to (cm),AVERAGE depth,Group,AVS (%S),CRS (%S),Net Acidity (mol H+/t),Organic C (%),Total N (%),ALUMINIUM (mg/kg),ARSENIC (mg/kg),CHROMIUM (mg/kg),COPPER (mg/kg),IRON (mg/kg),MANGANESE (mg/kg),NICKEL (mg/kg),ZINC (mg/kg),BORON (mg/kg),COBALT (mg/kg),BARIUM (mg/kg),CALCIUM (mg/kg),MAGNESIUM (mg/kg),POTASSIUM (mg/kg),SODIUM (mg/kg),CHLORIDE (mg/kg),SULFUR (mg/kg)
MSC1,1,0.42,0.65,0.535,1,0.01,0.01,53.61,0.891,0.044,1.583,0.002,0.006,0.03,7.53,0.416,0.183,0.525,0.144,0.139,0.081,5.659,25.494,14.376,79.029,76.922,54.256
MSC2,2,0.4,0.65,0.525,1,0,0.01,41.07,1.31,0.068,8.312,0.004,0.036,0.008,6.701,0.018,0.006,0.005,0.096,0.004,0.056,2.605,5.672,0.91,49.59,24.215,5.588
MSC3,3,0.6,1,0.8,1,0,0,30.12,0.984,0.055,1.891,0.001,0.003,0.023,0.873,0.28,0.011,0.033,0.213,0.02,0.044,1.299,9.071,4.909,189.272,130.029,74.062
MSC4,4,0.4,0.65,0.525,1,0,0,100.43,2.52,0.117,2.023,0.003,0.025,0.02,3.108,0.284,0.081,0.295,0.288,0.099,0.108,8.95,62.399,11.163,495.238,477.798,192.085
MSC4,4,0.65,0.85,0.75,1,0,0,74.07,1.29,0.072,1.48,0.003,0.014,0.018,1.755,0.398,0.073,0.141,0.156,0.121,0.102,10.86,64.155,10.286,444.28,512.096,153.973
MSC5,5,0.65,0.85,0.75,1,0.02,0.02,69.34,1.76,0.062,27.212,0.006,0.023,0.028,16.145,0.455,0.269,0.659,0.121,0.292,0.181,8.614,85.653,6.423,388.505,486.755,187.627
MSC6,6,0.53,1,0.765,1,0,0,240.35,29.1,1.4,47.733,0.016,0.027,0.022,114.794,16.487,1.126,2.97,1.138,2.251,0.574,219.169,760.936,34.868,2093.349,2928.168,1205.99
MSC6,6,1,1.3,1.15,1,0,0.74,633.81,29.8,1.04,85.191,0.456,0.034,0.001,375.164,18.018,3.466,3.841,1.266,8.625,0.413,404.358,1246.993,50.399,1457.896,1397.094,2803.353
MSC7,7,0.6,0.82,0.71,1,0,0.01,223.77,15.8,0.462,271.317,0.602,0.056,0.002,375.259,5.448,8.481,2.066,0.216,20.411,0.279,121.896,294.472,20.635,685.964,803.773,1354.58
MSC7,7,0.82,0.95,0.885,1,0,0.09,112.08,5.36,0.141,2.524,0.493,0.008,0.002,8.017,2.112,0.652,0.14,0.167,2.444,0.352,48.305,180.298,10.833,263.525,222.957,372.062
