Site,Distance from estuary mouth,Depth from (m),Depth to (cm),AVERAGE depth,Group,AVS (%S),CRS (%S),Net Acidity (mol H+/t),Organic C (%),Total N (%),ALUMINIUM (mg/kg),ARSENIC (mg/kg),CHROMIUM (mg/kg),COPPER (mg/kg),IRON (mg/kg),MANGANESE (mg/kg),NICKEL (mg/kg),ZINC (mg/kg),BORON (mg/kg),COBALT (mg/kg),BARIUM (mg/kg),CALCIUM (mg/kg),MAGNESIUM (mg/kg),POTASSIUM (mg/kg),SODIUM (mg/kg),CHLORIDE (mg/kg),SULFUR (mg/kg)
MSC8,8,0.28,0.85,0.565,1,0,0.05,165.46,25.4,1.07,60.448,0.384,0.029,0.01,35.071,6.162,0.469,0.799,0.775,0.918,0.55,108.146,498.568,22.514,1073.058,1293.046,852.686
MSC8,8,0.85,1.3,1.075,1,0.02,0.07,78.73,1.83,0.07,0.926,0.169,0.008,0.001,2.023,0.569,0.003,0.012,0.135,0.003,0.035,10.724,42.761,10.726,176.354,109.835,130.758
MSC9,9,0.5,0.75,0.625,1,0,2.43,1777.91,35.2,1.18,178.417,0.095,0.008,0.007,78.627,2.832,11.339,3.769,0.647,11.569,0.692,61.391,241.002,74.077,1455.061,2100.61,605.836
MSC9,9,0.75,1.2,0.975,1,0,1.46,1143.22,38.1,1.04,97.777,0.092,0.005,0.003,17.971,2.122,4.215,1.724,0.588,5.482,0.471,45.885,173.012,41.795,1095.001,1714.646,312.631
MSC10,10,0.55,0.8,0.675,1,0,7.42,4887.73,26.1,0.862,486.906,0.057,0.023,0.001,418.236,11.719,21.601,8.179,0.61,11.732,0.374,534.184,607.676,74.027,2033.001,2531.289,2436.826
MSC10,10,0.8,1.1,0.95,1,0,9.38,6169.72,26.5,0.789,1152.953,0.123,0.044,0.003,837.481,11.193,57.041,25.581,0.662,26.46,0.461,495.499,586.226,79.001,2320.678,2921.6,3866.472
MSC11,11,0.5,0.83,0.665,1,0,0.37,540.9,21.4,0.896,74.905,0.036,0.046,0.009,32.728,0.746,0.315,0.728,0.217,0.182,0.458,18.751,77.336,46.013,407.392,469.464,342.976
MSC11,11,0.83,1.04,0.935,1,0,0.61,442.64,3.41,0.131,50.734,0.038,0.009,0.003,31.47,0.15,0.464,0.329,0.08,0.48,0.443,5.763,17.452,4.16,86.385,93.032,152.138
MSC11,11,1.04,1.29,1.165,1,0,0.07,81.4,1.28,0.065,3.992,0.033,0.006,0.002,2.156,0.033,0.06,0.047,0.081,0.049,0.327,3.165,8.079,2.801,59.675,84.867,28.26
MSC12,12,0.4,0.66,0.53,1,0,0.01,60.19,1.1,0.06,0.633,0.001,0.004,0.003,2.499,0.063,0.01,0.031,0.173,0.003,0.023,7.852,12.844,7.623,85.668,90.631,48.694
MSC14,14,0.6,0.83,0.715,1,0.02,0.03,33.57,0.497,0.02,1.494,0.004,0.007,0.026,2.088,0.178,0.013,0.077,0.075,0.007,0.024,11.328,16.66,10.178,119.405,200.247,29.12
MSC15,15,0.55,1,0.775,1,0,0.01,162.1,19,0.733,36.079,0.007,0.01,0.003,161.718,8.011,0.376,0.782,1.701,0.36,0.365,811.531,682.373,49.068,1481.871,1914.821,1844.213
MSC15,15,1,1.1,1.05,1,0,0.02,169.18,15.6,0.546,27.958,0.006,0.012,0.003,119.962,6.711,0.19,0.421,1.7,0.213,0.54,623.691,606.292,42.798,1146.458,1400.374,1592.071
MSC17,17,0.46,0.9,0.68,1,0,0,109.29,11.9,0.254,10.584,0.003,0.011,0.011,23.99,0.862,0.053,0.192,0.347,0.021,0.206,110.04,110.212,23.475,685.45,1021.012,255.663
MSC17,17,0.9,1.03,0.965,1,0,0,510.68,15.3,0.581,15.697,0.007,0.011,0.014,100.089,1.497,0.112,0.417,0.498,0.051,0.22,122.147,81.801,57.802,419.817,628.494,300.585
MSC18,18,0.45,0.6,0.525,1,0,0,291.46,25.3,0.765,50.986,0.016,0.036,0.032,166.916,2.956,0.178,0.756,0.593,0.047,0.202,223.517,256.332,75.178,1475.997,2453.577,569.21
MSC19,19,0.45,0.85,0.65,1,0,0,302.38,36.4,0.824,109.054,0.02,0.014,0.027,8.748,2.505,0.253,0.608,1.01,0.068,0.183,336.728,327.043,80.806,2108.982,3598.487,619.36
MSC19,19,0.85,1.2,1.025,1,0,0,363.57,32.2,0.917,121.96,0.024,0.015,0.022,36.421,2.402,0.324,1.114,1.006,0.12,0.252,267.52,256.96,92.96,1681.141,2816.985,557.264
MSC20,20,0.43,0.75,0.59,1,0,0,125.6,15.2,0.372,21.947,0.003,0.012,0.014,23.432,1.631,0.079,0.235,0.708,0.011,0.044,245.837,183.245,49.185,1172.599,1906.396,369.635
MSC20,20,0.75,1.12,0.935,1,0,0,69.97,1.6,0.039,1.319,0.001,0.004,0.015,1.79,0.4,0.009,0.117,0.405,0.002,0.013,46.148,32.087,20.004,229.852,313.878,97.512
MSC21,21,0.56,0.72,0.64,1,0,0.07,475.81,13.3,0.517,460.507,0.035,0.016,0.015,321.836,3.855,7.681,3.241,1.44,2.148,0.331,815.286,403.606,70.057,2255.233,3927.38,1939.785
MSC21,21,0.72,1.4,1.06,1,0,0,373.87,19.3,0.7005,577.093,0.059,0.016,0.025,429.214,5.65,13.736,10.96,1.808,6.317,0.446,1166.589,587.143,96.827,3144.343,5619.692,2396.287
MSC22,22,0.45,0.63,0.54,1,0,0,207.43,26.9,1.26,19.48,0.01,0.01,0.063,4.237,1.664,0.065,0.195,1.755,0.018,0.25,1131.609,812.346,152.25,4320.99,7515.016,1236.81
MSC22,22,0.63,0.8,0.715,1,0,0,73.03,6.63,0.218,4.457,0.004,0.009,0.007,0.939,0.551,0.029,0.064,1.162,0.008,0.112,398.861,250.606,52.323,1368.298,2298.829,467.74
MSC22,22,0.8,1.2,1,1,0,0,52.41,1.58,0.078,1.51,0.003,0.007,0.015,0.561,0.217,0.014,0.032,1,0.007,0.122,166.435,104.971,41.925,710.822,1042.993,264.521
MSC23,23,0.5,0.95,0.725,1,0,0.06,331.82,11,0.443,184.148,0.016,0.019,0.01,76.781,3.717,0.54,1.066,1.061,0.256,0.167,522.956,296.797,56.802,1487.766,2458.874,1010.624
MSC23,23,0.95,1,0.975,1,0,0.05,290.89,16.9,0.627,564.808,0.066,0.036,0.02,283.839,5.501,1.397,2.84,1.547,1.435,0.286,896.554,375.823,62.983,1751.034,2849.383,2188.946
MSC23,23,1,1.35,1.175,1,0,0,145.26,21.1,0.624,21.755,0.01,0.011,0.025,27.387,12.667,0.109,0.286,1.636,0.07,0.35,1690.102,611.536,86.845,1950.841,3086.653,1992.6
MSC24,24,0.5,0.7,0.6,1,0,0,356.02,13,0.606,107.67,0.019,0.026,0.041,187.797,7.498,0.367,0.715,1.758,0.153,0.198,701.475,445.895,103.53,2182.235,3662.484,1208.365
MSC24,24,0.7,1.2,0.95,1,0,0.07,432.02,18.2,0.841,246.031,0.032,0.033,0.043,138.567,9.014,0.545,1.292,1.862,0.231,0.246,1067.717,692.309,132.834,3609.191,6154.514,1724.72
MSC25,25,0.55,0.76,0.655,1,0,0,603.8,15.9,0.6925,1148.387,0.054,0.057,0.019,2010.513,13.074,6.153,12.803,2.763,2.818,0.549,1736.207,584.868,214.508,2541.143,3613.177,5491.144
MSC25,25,0.76,1.35,1.055,1,0,0.08,281.13,19.8,0.788,127.326,0.026,0.018,0.034,919.531,22.145,2.586,6.975,4.315,1.395,0.949,3125.227,1214.335,151.033,3763.386,5126.066,5707.684
MSC26,26,0.37,0.67,0.52,1,0,0,254.84,15.1,0.713,129.773,0.014,0.012,0.025,92.853,3.308,0.879,1.831,1.097,0.704,0.165,302.448,254.873,98.714,1537.043,2378.163,729.839
MSC26,26,0.67,1.05,0.86,1,0,0.52,730.45,24.7,0.996,648.938,0.063,0.019,0.04,579.264,14.106,9.184,5.474,1.498,5.402,0.546,530.634,320.785,113.575,2005.671,3160.616,2186.244
MSC27,27,0.7,0.9,0.8,1,0,0,98.88,2.46,0.077,3.299,0.003,0.009,0.025,4.266,0.013,0.008,0.043,0.328,0.005,0.124,0.897,6.163,10.366,189.6,121.913,66.645
MSC28,28,0.65,1.05,0.85,1,0,0.02,459.05,19.4,0.773,1295.179,0.171,0.095,0.018,1356.895,6.979,35.324,9.798,0.944,19.163,0.386,298.201,186.668,49.532,710.787,927.862,3678.178
MSC5,5,0.35,0.65,0.5,1,0,0,147.48,10.7,0.436,64.103,0.022,0.041,0.038,22.324,0.774,0.715,1.009,0.226,0.689,0.154,11.766,201.657,19.18,1077.432,1510.702,381.43
MSC13,13,0.45,0.5,0.475,1,0.02,0.02,51.26,0.492,0.02,0.177,0.001,0.001,0.003,0.308,0.002,0.001,0.01,0.374,0.001,0.007,0.729,3.924,2.112,191.649,63.104,105.928
MSC14,14,0.35,0.6,0.475,1,0.02,0.01,34.46,1.42,0.02,2.382,0.004,0.005,0.013,4.047,0.125,0.013,0.053,0.08,0.006,0.026,10.305,23.597,7.018,208.39,299.067,34.308
MSC16,16,0.35,0.64,0.495,1,0,0,155.4,1.18,0.048,5.611,0.001,0.006,0.017,2.059,0.186,0.018,0.142,0.668,0.005,0.053,59.856,71.024,30.323,468.56,759.068,123.046
MSC21,21,0.37,0.56,0.465,1,0,0,382,13.5,0.574,140.539,0.017,0.017,0.019,80.994,3.373,0.924,1.114,1.403,0.664,0.277,769.752,434.114,80.683,2471.935,4169.312,1116.618
MSC27,27,0.3,0.7,0.5,1,0,0,69.7,2.87,0.083,1.495,0.002,0.008,0.038,2.888,0.028,0.012,0.055,0.276,0.009,0.087,0.991,12.172,14.137,175.372,157.685,57.367
