Site,Distance from estuary mouth,Depth from (m),Depth to (cm),AVERAGE depth,Group,AVS (%S),CRS (%S),Net Acidity (mol H+/t),Organic C (%),Total N (%),ALUMINIUM (mg/kg),ARSENIC (mg/kg),CHROMIUM (mg/kg),COPPER (mg/kg),IRON (mg/kg),MANGANESE (mg/kg),NICKEL (mg/kg),ZINC (mg/kg),BORON (mg/kg),COBALT (mg/kg),BARIUM (mg/kg),CALCIUM (mg/kg),MAGNESIUM (mg/kg),POTASSIUM (mg/kg),SODIUM (mg/kg),CHLORIDE (mg/kg),SULFUR (mg/kg)
MSC13,13,0.21,0.45,0.33,2,0.01,0.01,37.74,0.678,0.029,46.685,0.028,0.11,0.028,20.605,0.048,0.024,0.003,0.475,0.017,0.311,6.453,27.755,7.993,178.453,140.133,64.803
MSC14,14,0,0.35,0.175,2,0,0,234.48,21.7,0.518,55.746,0.049,0.038,0.019,44.806,1.259,0.083,0.605,0.492,0.056,0.132,63.095,188.09,80.861,1289.977,2014.282,235.022
MSC15,15,0,0.1,0.05,2,0,0,423.45,18.9,0.896,66.888,0.007,0.034,0.009,77.433,2.416,0.192,0.55,0.723,0.166,0.214,255.727,311.266,55.029,1749.945,2354.353,775.24
MSC15,15,0.1,0.55,0.325,2,0,0,213.45,29.5,1.1,220.505,0.015,0.026,0.004,922.928,15.842,1.792,3.244,3.357,1.443,0.31,2178.679,1325.665,73.086,2701.911,3514.713,4859.05
MSC16,16,0,0.15,0.075,2,0,0,122.66,5.17,0.2,6.836,0.004,0.014,0.009,4.092,0.78,0.03,0.121,0.588,0.011,0.052,99.624,104.724,30.415,650.814,936.426,216.604
MSC16,16,0.15,0.35,0.25,2,0,0,91.56,1.635,0.0655,4.628,0.002,0.009,0.012,4.46,0.266,0.021,0.103,0.546,0.007,0.029,66.181,71.846,19.626,375.206,563.776,159.16
MSC17,17,0,0.46,0.23,2,0,0,52.98,1.47,0.037,10.481,0.005,0.029,0.01,23.352,0.568,0.093,0.202,0.158,0.05,0.173,60.24,43.199,12.911,207.769,307.505,158.495
MSC18,18,0,0.2,0.1,2,0,0,395.72,27.9,0.938,28.132,0.016,0.041,0.048,100.624,1.532,0.111,0.639,0.718,0.03,0.159,105.24,116.235,87.626,657.515,1023.882,303.005
MSC18,18,0.2,0.45,0.325,2,0,0,322.04,37.8,1.08,49.001,0.021,0.036,0.056,178.903,2.864,0.199,0.944,0.635,0.046,0.186,230.105,265.86,86.869,1532.67,2505.438,603.939
MSC19,19,0,0.45,0.225,2,0,0,416.09,30,0.885,92.778,0.018,0.013,0.037,43.241,1.716,0.229,0.825,0.852,0.064,0.169,223.156,223.208,81.214,1426.918,2252.359,513.325
MSC20,20,0,0.43,0.215,2,0,0,559.07,37.5,1.05,87.837,0.009,0.026,0.05,82.834,3.546,0.171,0.773,1.576,0.028,0.124,367.739,330.62,159.422,1878.409,3743.878,622.617
MSC21,21,0,0.1,0.05,2,0,0,345.25,11.8,0.464,26.807,0.007,0.005,0.025,83.297,1.782,0.348,0.544,1.049,0.086,0.313,268.64,140.624,67.921,1165.112,2031.768,323.063
MSC21,21,0.1,0.37,0.235,2,0,0,344.16,7.75,0.376,53.564,0.012,0.009,0.014,71.605,3.053,0.245,0.677,1.143,0.025,0.251,556.079,342.466,71.358,1880.704,3307.568,718.977
MSC22,22,0,0.3,0.15,2,0,0,449.25,13.5,0.489,12.592,0.008,0.009,0.042,76.495,10.002,0.057,0.369,1.149,0.023,0.28,355.444,146.973,65.468,355.966,647.048,514.012
MSC22,22,0.3,0.45,0.375,2,0,0,325.27,14.3,0.709,16.086,0.012,0.012,0.018,5.193,1.139,0.058,0.165,1.7,0.016,0.151,645.795,395.644,100.777,2013.626,3317.112,811.613
MSC23,23,0,0.2,0.1,2,0,0,124.57,9.45,0.43,14.932,0.008,0.011,0.028,44.683,5.342,0.132,0.386,1.208,0.136,0.177,485.437,304.272,75.693,1227.418,1927.019,755.534
MSC23,23,0.2,0.5,0.35,2,0,0,234.45,7.16,0.355,50.67,0.011,0.012,0.019,53.933,2.853,0.334,0.639,1.076,0.106,0.163,439.523,268.188,61.319,1375.772,2339.686,692.813
MSC24,24,0,0.5,0.25,2,0,0,438.21,30.4,1.14,94.986,0.015,0.024,0.057,200.473,21.935,0.22,1.573,2.896,0.218,0.359,1309.88,904.615,237.396,3601.985,6405.44,1906.185
MSC25,25,0,0.05,0.025,2,0,0,390.61,31.5,0.954,49.825,0.006,0.009,0.05,52.383,7.954,0.103,1.094,1.269,0.061,0.444,133.498,105.804,175.066,432.659,1664.785,224.68
MSC25,25,0.05,0.23,0.14,2,0,0,339.23,11.7,0.607,140.044,0.016,0.015,0.062,26.426,1.664,0.597,1.985,1.269,0.206,0.209,302.16,231.57,106.124,1387.555,2295.815,636.891
MSC25,25,0.23,0.35,0.29,2,0,0,440.29,21.1,1.16,488.498,0.041,0.024,0.021,76.533,5.25,1.815,7.084,1.806,0.448,0.271,936.835,670.882,170.216,4132.893,6985.349,1875.16
MSC25,25,0.35,0.55,0.45,2,0,0,521.26,17.2,0.843,561.75,0.037,0.023,0.043,83.119,6.124,1.24,4.309,1.821,0.307,0.241,882.702,591.452,133.976,3679.209,5970.137,2020.894
MSC26,26,0,0.05,0.025,2,0,0,485.84,29.4,0.849,73.68,0.013,0.02,0.061,103.823,4.476,0.032,0.441,1.219,0.019,0.136,90.329,98.221,308.336,250.322,1079.753,229.328
MSC26,26,0.05,0.37,0.21,2,0,0,281.6,11.3,0.524,25.601,0.008,0.009,0.04,31.837,1.197,0.132,0.35,0.71,0.036,0.061,97.249,81.81,139.955,525.695,811.745,242.424
MSC27,27,0,0.08,0.04,2,0,0.02,114.48,8.18,0.41,14.347,0.013,0.055,0.046,16.896,0.153,0.056,0.073,1.013,0.03,0.198,5.656,26.921,39.743,221.683,520.146,86.904
MSC27,27,0.08,0.2,0.14,2,0,0.02,93.75,5.51,0.251,8.148,0.007,0.031,0.038,8.187,0.061,0.022,0.053,0.738,0.014,0.11,1.663,14.71,29.632,206.521,307.493,52.827
MSC27,27,0.2,0.3,0.25,2,0,0.01,78.95,3.15,0.083,0.788,0.003,0.005,0.025,1.298,0.059,0.017,0.031,0.324,0.015,0.102,1.82,23.476,19.319,186.87,155.123,79.298
MSC28,28,0,0.2,0.1,2,0,0,528.81,31.4,1.47,171.692,0.021,0.076,0.031,112.798,10.934,1.448,1.916,0.82,0.367,0.257,178.824,304.971,61.506,1411.361,2003.132,923.682
MSC28,28,0.2,0.65,0.425,2,0,0.04,350.32,10.6,0.423,236.529,0.02,0.039,0.034,79.911,4.76,2.752,2.287,0.734,1.508,0.316,172.872,146.639,36.258,579.552,840.247,781.738
